"","X","Experiment","Season","Plot","Site","Region","Landuse","Block","Blockcode","Samplecode","Treatment","Littertype","Teabag.code","Initial.weight.including.bag..cord.and.label..g.","Initial.weight.tea.only..g.","Ashed.subsample.percentage.controll.initial.tea.only....","Ashed.initial.corrected.weight..tea.only..g.","Final.weight.including.bag.and.cord..no.label..g.","Final.weight..tea.only..g.","Final.weight.tea.only..from.ash.protocol.","Ashed.final.subsample.percentage.....","Ashed.final.corrected.weight..tea.only..g.","Burial.date","Recovery.date","incubation.time.red.and.green.tea..days.","Massloss..g..Ash.uncorrected","Massloss..g.","N.D..tree..m.","N.D.Mound..m.","Mound.type","Tree.with.ants","Moisture..","Temperature..C.","Lat","Long","Sign.of.termite.cheeting","Sign.of.hole.s.","Sign.of.roots","S","K","Massloss.per","N.per","C.per","P.per..SUA.","C.N","P.per..NMBU.","CLAY..","SILT..","SAND..","Class","OC..","Claycorr","Siltcorr","Sandcorr","Rain.sum","Site.ID"
"1587",1587,"CG","Wet",214,"Handajega","Wet","Wild",3,"Wet_W3","Wet_W3_CG1","Open","Rooibos","R145",2.272,2.022,5.51,1.911,1.548,1.398,1.347,2.427,1.314,"03.02.2017","20.03.2017",45,0.625,0.597,13.8,17.4,"O",1,20.3,26.25,-2.439403972,34.83840496,"NO","NO","NO",NA,0.024348945,31.2401883830455,0.17,2.32,58.73,13.64705882,0.585,25.96,8.92,65.12,"sandy clay loam",1.61,24.343532,19.893088,55.466172,184.8119371,"Handajega"
"1588",1588,"CG","Wet",216,"Handajega","Wet","Wild",4,"Wet_W4","Wet_W4_CG2","Open","Rooibos","R241",2.168,1.918,5.51,1.812,1.535,1.384,1.296,21.52,1.017,"03.02.2017","20.03.2017",45,0.534,0.795,5.13,5.13,"O",1,20.65,25.05,-2.439645035,34.83836599,"NO","YES","NO",NA,NA,43.8741721854305,0.14,1.73,52.65,12.35714286,NA,25.96,8.92,65.12,"sandy clay loam",1.7,24.343532,19.893088,55.466172,184.8119371,"Handajega"
"1589",1589,"CG","Wet",217,"Seronera","Intermediate","Wild",1,"Local1","Local1_CG1","Open","Rooibos","R302",2.19,1.94,5.51,1.833,1.38,1.229,1.134,5.52,1.071,"03.02.2017","20.03.2017",45,0.711,0.762,13.8,17.4,"O",1,20.05,25.5,-2.439403972,34.83840496,"NO","NO","YES",NA,0.055622014,41.5711947626841,0.14,1.64,27.86,11.71428571,0.3875,29.08,7.2,63.73,"sandy clay loam",1.1,28.521836,18.49318,53.898113,175.2158954,"Seronera"
"1590",1590,"CG","Wet",218,"Seronera","Intermediate","Wild",2,"Local2","Local2_CG2","Open","Rooibos","R442",2.229,1.979,5.51,1.87,1.383,1.233,1.154,6.745,1.076,"03.02.2017","20.03.2017",45,0.747,0.794,5.13,5.13,"O",1,22.1,24.5,-2.439645035,34.83836599,"NO","NO","YES",NA,0.05049253,42.4598930481283,0.18,2.19,38.49,12.16666667,NA,21.07,7.31,71.62,"sandy clay loam",1.45,17.794844,18.582709,62.798822,175.2158954,"Seronera"
"1591",1591,"CG","Wet",219,"Seronera","Intermediate","Wild",3,"Local3","Local3_CG3","Open","Rooibos","R176",2.216,1.966,5.51,1.858,1.429,1.279,1.199,6.379,1.123,"03.02.2017","19.03.2017",44,0.688,0.735,7.9,7.9,"O",1,21.75,27.55,-2.439599019,34.83841896,"NO","NO","YES",NA,0.038081986,39.5586652314316,0.16,2.29,46.43,14.3125,NA,21.96,4.92,73.12,"sandy clay loam",1.4,18.986732,16.637488,64.490972,175.2158954,"Seronera"
"1592",1592,"CG","Wet",220,"Seronera","Intermediate","Wild",4,"Local4","Local4_CG4","Open","Rooibos","R250",2.264,2.014,5.51,1.903,1.53,1.38,1.32,5.631,1.246,"03.02.2017","19.03.2017",44,0.635,0.657,15.2,12.2,"O",1,20.85,27.95,-2.439694991,34.83857403,"NO","YES","NO",NA,0.027054912,34.5244351024698,0.12,1.62,31.4,13.5,NA,15.96,6.92,77.12,"sandy loam",0.61,10.951532,18.265288,69.003372,175.2158954,"Seronera"
"1593",1593,"CG","Wet",193,"Makao","Dry","Agriculture",1,"Dry_Ag1","Dry_Ag1_CG4","Exclosed","Green","G584",2.196,1.946,5.51,1.839,0.64,0.489,0.451,7.923,0.415,"03.02.2017","19.03.2017",44,1.457,1.424,15.2,12.2,"O",1,22.4,28.95,-2.439694991,34.83857403,"NO","NO","YES",0.103152238,NA,77.4333877107123,0.15,1.88,14.23,12.53333333,NA,12.57,0.97,86.47,"loamy sand",1.02,6.411644,13.422583,79.551107,204.2116611,"Makao.ag"
"1594",1594,"CG","Wet",194,"Makao","Dry","Agriculture",2,"Dry_Ag2","Dry_Ag2_CG3","Exclosed","Green","G713",2.178,1.928,5.51,1.822,0.635,0.484,0.429,8.657,0.392,"03.02.2017","19.03.2017",44,1.444,1.43,7.9,7.9,"O",1,19.6,29.3,-2.439599019,34.83841896,"NO","NO","YES",0.100789653,NA,78.4851811196487,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"1595",1595,"CG","Wet",195,"Makao","Dry","Agriculture",3,"Dry_Ag3","Dry_Ag3_CG2","Exclosed","Green","G525",2.079,1.829,5.51,1.728,0.679,0.528,0.484,12.794,0.422,"03.02.2017","20.03.2017",45,1.301,1.306,5.13,5.13,"O",1,29.7,24.35,-2.439645035,34.83836599,"NO","NO","YES",0.128757782,NA,75.5787037037037,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"1596",1596,"CG","Wet",196,"Makao","Dry","Agriculture",4,"Dry_Ag4","Dry_Ag4_CG1","Exclosed","Green","G886",1.959,1.709,5.51,1.615,0.584,0.433,0.393,11.608,0.347,"03.02.2017","20.03.2017",45,1.276,1.268,13.8,17.4,"O",1,23.75,25.25,-2.439403972,34.83840496,"NO","NO","NO",0.094014976,NA,78.5139318885449,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"1597",1597,"CG","Wet",197,"Makao","Dry","Pasture",1,"Dry_P1","Dry_P1_CG2","Exclosed","Green","G388",2.024,1.774,5.51,1.676,0.705,0.554,0.504,10.565,0.451,"03.02.2017","20.03.2017",45,1.22,1.225,5.13,5.13,"O",1,22.85,24.4,-2.439645035,34.83836599,"NO","NO","YES",0.163376609,NA,73.090692124105,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"1598",1598,"CG","Wet",198,"Makao","Dry","Pasture",2,"Dry_P2","Dry_P2_CG3","Exclosed","Green","G462",2.169,1.919,5.51,1.813,0.713,0.562,0.527,8.754,0.481,"03.02.2017","19.03.2017",44,1.357,1.332,7.9,7.9,"O",1,20.9,27.45,-2.439599019,34.83841896,"NO","NO","YES",0.148149447,NA,73.469387755102,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"1599",1599,"CG","Wet",199,"Makao","Dry","Pasture",3,"Dry_P3","Dry_P3_CG1","Exclosed","Green","G712",2.063,1.813,5.51,1.713,0.655,0.504,0.464,8.872,0.423,"03.02.2017","20.03.2017",45,1.309,1.29,13.8,17.4,"O",1,18.15,24.55,-2.439403972,34.83840496,"NO","NO","NO",0.130996012,NA,75.3064798598949,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
"1600",1600,"CG","Wet",200,"Makao","Dry","Pasture",4,"Dry_P4","Dry_P4_CG4","Exclosed","Green","G709",1.967,1.717,5.51,1.623,0.565,0.414,0.413,9.841,0.373,"03.02.2017","19.03.2017",44,1.303,1.25,15.2,12.2,"O",1,22.8,27.9,-2.439694991,34.83857403,"NO","NO","YES",0.085637693,NA,77.0178681454097,0.17,2.15,3.04,12.64705882,NA,25.96,6.92,67.12,"sandy clay loam",1.76,24.343532,18.265288,57.722372,204.2116611,"Makao.p"
"1601",1601,"CG","Wet",201,"Maswa","Dry","Wild",3,"Dry_W3","Dry_W3_CG4","Exclosed","Green","G707",2.008,1.758,5.51,1.661,0.64,0.489,0.45,12.145,0.395,"03.02.2017","19.03.2017",44,1.269,1.266,15.2,12.2,"O",1,22,28,-2.439694991,34.83857403,"NO","NO","YES",0.119489235,NA,76.2191450933173,0.22,2.55,65.92,11.59090909,1.2,38.69,26.81,34.5,"clay loam",2.55,41.391548,34.453759,20.92375,189.6394726,"Maswa"
"1602",1602,"CG","Wet",202,"Maswa","Dry","Wild",2,"Dry_W2","Dry_W2_CG1","Exclosed","Green","G770",1.958,1.708,5.51,1.614,0.982,0.831,0.762,31.966,0.519,"03.02.2017","20.03.2017",45,0.877,1.095,13.8,17.4,"O",1,20.65,24.1,-2.439403972,34.83840496,"NO","NO","YES",0.228572089,NA,67.8438661710037,0.27,3.12,51.82,11.55555556,NA,45.27,23.6,31.12,"clay",2.05,50.203484,31.84114,17.110772,189.6394726,"Maswa"
"1603",1603,"CG","Wet",203,"Maswa","Dry","Wild",1,"Dry_W1","Dry_W1_CG2","Exclosed","Green","G753",2.065,1.815,5.51,1.715,0.768,0.618,0.579,9.433,0.524,"03.02.2017","20.03.2017",45,1.198,1.191,5.13,5.13,"O",1,27,28.4,-2.439645035,34.83836599,"NO","NO","YES",0.199614852,NA,69.4460641399417,0.23,2.96,11.19,12.86956522,0.33,47.96,22.92,29.12,"clay",2.88,53.805932,31.287688,14.854572,189.6394726,"Maswa"
"1604",1604,"CG","Wet",204,"Maswa","Dry","Wild",4,"Dry_W4","Dry_W4_CG3","Exclosed","Green","G640",2.064,1.814,5.51,1.714,0.725,0.574,0.522,11.574,0.461,"03.02.2017","19.03.2017",44,1.24,1.253,7.9,7.9,"O",1,21.6,30.95,-2.439599019,34.83841896,"NO","NO","YES",0.163957112,NA,73.1038506417736,0.22,2.84,14.23,12.90909091,NA,28.15,25.09,46.77,"sandy clay loam",2.17,27.27638,33.053851,34.765537,189.6394726,"Maswa"
"1605",1605,"CG","Wet",205,"Mwantimba","Wet","Agriculture",1,"Wet_Ag1","Wet_Ag1_CG2","Exclosed","Green","G668",2.03,1.78,5.51,1.682,0.71,0.559,0.496,17.814,0.407,"03.02.2017","20.03.2017",45,1.221,1.275,5.13,5.13,"O",1,24.45,26.3,-2.439645035,34.83836599,"NO","NO","YES",0.136973401,NA,75.8026159334126,0.13,1.56,32.75,12,NA,45.96,14.92,39.12,"clay",2.04,51.127532,24.776488,26.135572,206.8173452,"Mwantimba.ag"
"1606",1606,"CG","Wet",206,"Mwantimba","Wet","Agriculture",2,"Wet_Ag2","Wet_Ag2_CG1","Exclosed","Green","G891",2.017,1.767,5.51,1.67,0.702,0.551,0.497,13.416,0.43,"03.02.2017","20.03.2017",45,1.216,1.239,13.8,17.4,"O",1,19.05,24.15,-2.439403972,34.83840496,"NO","NO","YES",0.151932607,NA,74.251497005988,0.14,1.83,64.81,13.07142857,NA,34.34,19.23,46.43,"sandy clay loam",1.75,35.566028,28.284397,34.381983,206.8173452,"Mwantimba.ag"
"1607",1607,"CG","Wet",207,"Mwantimba","Wet","Agriculture",3,"Wet_Ag3","Wet_Ag3_CG4","Exclosed","Green","G540",2.083,1.833,5.51,1.732,0.733,0.582,0.514,21.55,0.403,"03.02.2017","19.03.2017",44,1.251,1.329,15.2,12.2,"O",1,19.8,29.05,-2.439694991,34.83857403,"NO","NO","YES",0.125628485,NA,76.7321016166282,0.09,0.99,12.44,11,NA,27.96,4.92,67.12,"sandy clay loam",0.89,27.021932,16.637488,57.722372,206.8173452,"Mwantimba.ag"
"1608",1608,"CG","Wet",208,"Mwantimba","Wet","Agriculture",4,"Wet_Ag4","Wet_Ag4_CG3","Exclosed","Green","G508",1.991,1.741,5.51,1.645,0.846,0.695,0.607,12.276,0.533,"03.02.2017","19.03.2017",44,1.046,1.113,7.9,7.9,"O",1,22.2,27.45,-2.439599019,34.83841896,"NO","NO","YES",0.25273067,NA,67.5987841945289,0.12,1.43,12.58,11.91666667,NA,17.96,4.92,77.12,"sandy loam",2.02,13.629932,16.637488,69.003372,206.8173452,"Mwantimba.ag"
"1609",1609,"CG","Wet",209,"Mwantimba","Wet","Pasture",1,"Wet_P1","Wet_P1_CG2","Exclosed","Green","G637",2.111,1.861,5.51,1.759,0.864,0.713,0.665,17.472,0.549,"03.02.2017","20.03.2017",45,1.148,1.209,5.13,5.13,"O",1,24.5,24.4,-2.439645035,34.83836599,"YES","NO","YES",0.209969212,NA,68.78908470722,0.18,2.19,32.2,12.16666667,1.3,31.21,11.38,57.41,"sandy clay loam",1.73,31.374332,21.895282,46.768521,206.8173452,"Mwantimba.p"
"1610",1610,"CG","Wet",210,"Mwantimba","Wet","Pasture",2,"Wet_P2","Wet_P2_CG4","Exclosed","Green","G720",2.035,1.785,5.51,1.687,0.722,0.571,0.53,16.058,0.445,"03.02.2017","19.03.2017",44,1.214,1.242,15.2,12.2,"O",1,22.4,28.4,-2.439694991,34.83857403,"NO","NO","YES",0.149836252,NA,73.6218138707765,0.19,2.07,15.06,10.89473684,NA,33.96,8.92,57.12,"sandy clay loam",2.07,35.057132,19.893088,46.441372,206.8173452,"Mwantimba.p"
"1611",1611,"CG","Wet",211,"Mwantimba","Wet","Pasture",3,"Wet_P3","Wet_P3_CG1","Exclosed","Green","G796",2.107,1.857,5.51,1.755,0.672,0.521,0.661,40.671,0.392,"03.02.2017","20.03.2017",45,1.336,1.362,13.8,17.4,"O",1,16.85,23.95,-2.439403972,34.83840496,"NO","NO","YES",0.021715224,NA,77.6638176638177,0.17,2.29,29.99,13.47058824,0.69,39.96,12.92,47.12,"sandy clay",1.65,43.092332,23.148688,35.160372,206.8173452,"Mwantimba.p"
"1612",1612,"CG","Wet",215,"Mwantimba","Wet","Pasture",4,"Wet_P4","Wet_P4_CG3","Exclosed","Green","G560",2.122,1.872,5.51,1.769,1.41,1.259,1.164,39.083,0.709,"03.02.2017","19.03.2017",44,0.613,1.06,7.9,7.9,"O",1,22.45,27.45,-2.439599019,34.83841896,"NO","NO","YES",0.32735174,NA,59.9208592425099,0.16,2.41,49.2,15.0625,NA,27.96,4.92,67.12,"sandy clay loam",1.04,27.021932,16.637488,57.722372,206.8173452,"Mwantimba.p"
"1613",1613,"CG","Wet",212,"Handajega","Wet","Wild",1,"Wet_W1","Wet_W1_CG4","Exclosed","Green","G716",2.117,1.867,5.51,1.764,0.83,0.679,0.615,8.292,0.564,"03.02.2017","19.03.2017",44,1.188,1.2,15.2,12.2,"O",1,19.75,28.15,-2.439694991,34.83857403,"NO","NO","YES",0.231786804,NA,68.0272108843537,0.11,1.46,39.25,13.27272727,0.59,21.96,4.92,73.12,"sandy clay loam",1.24,18.986732,16.637488,64.490972,184.8119371,"Handajega"
"1614",1614,"CG","Wet",213,"Handajega","Wet","Wild",2,"Wet_W2","Wet_W2_CG3","Exclosed","Green","G581",2.007,1.757,5.51,1.66,0.634,0.483,0.443,8.358,0.406,"03.02.2017","19.03.2017",44,1.274,1.255,7.9,7.9,"O",1,19.45,29.2,-2.439694991,34.83857403,"NO","NO","YES",0.1292395,NA,75.5421686746988,0.12,1.88,55.14,15.66666667,NA,23.96,4.92,71.12,"sandy clay loam",3.31,21.665132,16.637488,62.234772,184.8119371,"Handajega"
"1615",1615,"CG","Wet",214,"Handajega","Wet","Wild",3,"Wet_W3","Wet_W3_CG1","Exclosed","Green","G718",2.037,1.787,5.51,1.689,0.678,0.527,0.486,7.294,0.451,"03.02.2017","20.03.2017",45,1.26,1.238,13.8,17.4,"O",1,20.3,26.25,-2.439403972,34.83840496,"NO","NO","YES",0.156028626,NA,73.2978093546477,0.17,2.32,58.73,13.64705882,0.585,25.96,8.92,65.12,"sandy clay loam",1.61,24.343532,19.893088,55.466172,184.8119371,"Handajega"
"1616",1616,"CG","Wet",216,"Handajega","Wet","Wild",4,"Wet_W4","Wet_W4_CG2","Exclosed","Green","G613",2.034,1.784,5.51,1.686,0.825,0.674,0.619,7.343,0.574,"03.02.2017","20.03.2017",45,1.11,1.112,5.13,5.13,"O",1,20.65,25.05,-2.439645035,34.83836599,"NO","NO","YES",0.252578111,NA,65.9549228944247,0.14,1.73,52.65,12.35714286,NA,25.96,8.92,65.12,"sandy clay loam",1.7,24.343532,19.893088,55.466172,184.8119371,"Handajega"
"1617",1617,"CG","Wet",217,"Seronera","Intermediate","Wild",1,"Local1","Local1_CG1","Exclosed","Green","G804",2.028,1.778,5.51,1.68,0.662,0.511,0.456,8.577,0.417,"03.02.2017","20.03.2017",45,1.267,1.264,13.8,17.4,"O",1,20.05,25.5,-2.439403972,34.83840496,"NO","NO","YES",0.142842135,NA,75.1785714285714,0.14,1.64,27.86,11.71428571,0.3875,29.08,7.2,63.73,"sandy clay loam",1.1,28.521836,18.49318,53.898113,175.2158954,"Seronera"
"1618",1618,"CG","Wet",218,"Seronera","Intermediate","Wild",2,"Local2","Local2_CG2","Exclosed","Green","G587",2.064,1.814,5.51,1.714,0.717,0.566,0.533,13.067,0.464,"03.02.2017","20.03.2017",45,1.248,1.25,5.13,5.13,"O",1,22.1,24.5,-2.439645035,34.83836599,"NO","NO","YES",0.15332166,NA,72.928821470245,0.18,2.19,38.49,12.16666667,NA,21.07,7.31,71.62,"sandy clay loam",1.45,17.794844,18.582709,62.798822,175.2158954,"Seronera"
"1619",1619,"CG","Wet",219,"Seronera","Intermediate","Wild",3,"Local3","Local3_CG3","Exclosed","Green","G491",2.025,1.775,5.51,1.677,0.656,0.505,0.458,11.644,0.404,"03.02.2017","19.03.2017",44,1.27,1.273,7.9,7.9,"O",1,21.75,27.55,-2.439599019,34.83841896,"NO","NO","YES",0.12835432,NA,75.9093619558736,0.16,2.29,46.43,14.3125,NA,21.96,4.92,73.12,"sandy clay loam",1.4,18.986732,16.637488,64.490972,175.2158954,"Seronera"
"1620",1620,"CG","Wet",220,"Seronera","Intermediate","Wild",4,"Local4","Local4_CG4","Exclosed","Green","G849",2.107,1.857,5.51,1.755,0.652,0.502,0.46,11.567,0.407,"03.02.2017","19.03.2017",44,1.355,1.348,15.2,12.2,"O",1,20.85,27.95,-2.439694991,34.83857403,"NO","NO","YES",0.112689627,NA,76.8091168091168,0.12,1.62,31.4,13.5,NA,15.96,6.92,77.12,"sandy loam",0.61,10.951532,18.265288,69.003372,175.2158954,"Seronera"
"1621",1621,"CG","Wet",193,"Makao","Dry","Agriculture",1,"Dry_Ag1","Dry_Ag1_CG4","Exclosed","Rooibos","R364",2.234,1.984,5.51,1.875,1.391,1.241,1.182,3.462,1.141,"03.02.2017","19.03.2017",44,0.744,0.733,15.2,12.2,"O",1,22.4,28.95,-2.439694991,34.83857403,"NO","NO","NO",NA,0.033615328,39.1466666666667,0.15,1.88,14.23,12.53333333,NA,12.57,0.97,86.47,"loamy sand",1.02,6.411644,13.422583,79.551107,204.2116611,"Makao.ag"
"1622",1622,"CG","Wet",194,"Makao","Dry","Agriculture",2,"Dry_Ag2","Dry_Ag2_CG3","Exclosed","Rooibos","R167",2.177,1.927,5.51,1.821,1.475,1.324,1.229,3.244,1.189,"03.02.2017","19.03.2017",44,0.603,0.632,7.9,7.9,"O",1,19.6,29.3,-2.439599019,34.83841896,"NO","NO","YES",NA,0.023459296,34.7062053816584,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"1623",1623,"CG","Wet",195,"Makao","Dry","Agriculture",3,"Dry_Ag3","Dry_Ag3_CG2","Exclosed","Rooibos","R25",2.16,1.91,5.51,1.805,1.353,1.202,1.119,4.592,1.067,"03.02.2017","20.03.2017",45,0.708,0.738,5.13,5.13,"O",1,29.7,24.35,-2.439645035,34.83836599,"NO","NO","NO",NA,0.035958511,40.8864265927978,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"1624",1624,"CG","Wet",196,"Makao","Dry","Agriculture",4,"Dry_Ag4","Dry_Ag4_CG1","Exclosed","Rooibos","R362",2.246,1.996,5.51,1.886,1.525,1.375,1.298,3.691,1.25,"03.02.2017","20.03.2017",45,0.622,0.636,13.8,17.4,"O",1,23.75,25.25,-2.439403972,34.83840496,"NO","NO","NO",NA,0.022852831,33.7221633085896,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"1625",1625,"CG","Wet",197,"Makao","Dry","Pasture",1,"Dry_P1","Dry_P1_CG2","Exclosed","Rooibos","R370",2.229,1.979,5.51,1.87,1.488,1.337,1.274,5.068,1.209,"03.02.2017","20.03.2017",45,0.642,0.661,5.13,5.13,"O",1,22.85,24.4,-2.439645035,34.83836599,"NO","NO","YES",NA,0.030270199,35.3475935828877,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"1626",1626,"CG","Wet",198,"Makao","Dry","Pasture",2,"Dry_P2","Dry_P2_CG3","Exclosed","Rooibos","R168",2.146,1.896,5.51,1.792,1.574,1.423,1.345,3.119,1.303,"03.02.2017","19.03.2017",44,0.473,0.488,7.9,7.9,"O",1,20.9,27.45,-2.439599019,34.83841896,"NO","NO","YES",NA,0.017871617,27.2879464285714,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"1627",1627,"CG","Wet",199,"Makao","Dry","Pasture",3,"Dry_P3","Dry_P3_CG1","Exclosed","Rooibos","R369",2.24,1.99,5.51,1.88,1.667,1.516,1.413,2.825,1.373,"03.02.2017","20.03.2017",45,0.474,0.508,13.8,17.4,"O",1,18.15,24.55,-2.439403972,34.83840496,"NO","NO","YES",NA,0.015631872,26.968085106383,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
"1628",1628,"CG","Wet",200,"Makao","Dry","Pasture",4,"Dry_P4","Dry_P4_CG4","Exclosed","Rooibos","R359",2.198,1.948,5.51,1.841,1.488,1.338,1.325,4.029,1.271,"03.02.2017","19.03.2017",44,0.611,0.57,15.2,12.2,"O",1,22.8,27.9,-2.439694991,34.83857403,"NO","NO","YES",NA,0.023555725,30.9614340032591,0.17,2.15,3.04,12.64705882,NA,25.96,6.92,67.12,"sandy clay loam",1.76,24.343532,18.265288,57.722372,204.2116611,"Makao.p"
"1629",1629,"CG","Wet",201,"Maswa","Dry","Wild",3,"Dry_W3","Dry_W3_CG4","Exclosed","Rooibos","R395",2.128,1.878,5.51,1.775,1.579,1.428,1.395,3.012,1.353,"03.02.2017","19.03.2017",44,0.45,0.422,15.2,12.2,"O",1,22,28,-2.439694991,34.83857403,"NO","NO","NO",NA,0.015975292,23.7746478873239,0.22,2.55,65.92,11.59090909,1.2,38.69,26.81,34.5,"clay loam",2.55,41.391548,34.453759,20.92375,189.6394726,"Maswa"
"1630",1630,"CG","Wet",202,"Maswa","Dry","Wild",2,"Dry_W2","Dry_W2_CG1","Exclosed","Rooibos","R182",2.161,1.911,5.51,1.806,1.679,1.528,1.417,3.923,1.361,"03.02.2017","20.03.2017",45,0.383,0.444,13.8,17.4,"O",1,20.65,24.1,-2.439403972,34.83840496,"NO","NO","NO",NA,0.015488527,24.640088593577,0.27,3.12,51.82,11.55555556,NA,45.27,23.6,31.12,"clay",2.05,50.203484,31.84114,17.110772,189.6394726,"Maswa"
"1631",1631,"CG","Wet",203,"Maswa","Dry","Wild",1,"Dry_W1","Dry_W1_CG2","Exclosed","Rooibos","R342",2.245,1.995,5.51,1.885,1.591,1.44,1.376,3.643,1.325,"03.02.2017","20.03.2017",45,0.555,0.56,5.13,5.13,"O",1,27,28.4,-2.439645035,34.83836599,"NO","NO","NO",NA,0.023494126,29.7082228116711,0.23,2.96,11.19,12.86956522,0.33,47.96,22.92,29.12,"clay",2.88,53.805932,31.287688,14.854572,189.6394726,"Maswa"
"1632",1632,"CG","Wet",204,"Maswa","Dry","Wild",4,"Dry_W4","Dry_W4_CG3","Exclosed","Rooibos","R139",2.283,2.033,5.51,1.921,1.626,1.475,1.405,2.948,1.364,"03.02.2017","19.03.2017",44,0.558,0.557,7.9,7.9,"O",1,21.6,30.95,-2.439599019,34.83841896,"NO","NO","NO",NA,0.02114655,28.9953149401353,0.22,2.84,14.23,12.90909091,NA,28.15,25.09,46.77,"sandy clay loam",2.17,27.27638,33.053851,34.765537,189.6394726,"Maswa"
"1633",1633,"CG","Wet",205,"Mwantimba","Wet","Agriculture",1,"Wet_Ag1","Wet_Ag1_CG2","Exclosed","Rooibos","R92",2.246,1.996,5.51,1.886,1.721,1.57,1.471,4.682,1.402,"03.02.2017","20.03.2017",45,0.426,0.484,5.13,5.13,"O",1,24.45,26.3,-2.439645035,34.83836599,"NO","NO","NO",NA,0.01491235,25.6627783669141,0.13,1.56,32.75,12,NA,45.96,14.92,39.12,"clay",2.04,51.127532,24.776488,26.135572,206.8173452,"Mwantimba.ag"
"1634",1634,"CG","Wet",206,"Mwantimba","Wet","Agriculture",2,"Wet_Ag2","Wet_Ag2_CG1","Exclosed","Rooibos","R328",2.255,2.005,5.51,1.895,1.609,1.458,1.363,5.879,1.283,"03.02.2017","20.03.2017",45,0.547,0.612,13.8,17.4,"O",1,19.05,24.15,-2.439403972,34.83840496,"NO","NO","YES",NA,0.022685423,32.2955145118734,0.14,1.83,64.81,13.07142857,NA,34.34,19.23,46.43,"sandy clay loam",1.75,35.566028,28.284397,34.381983,206.8173452,"Mwantimba.ag"
"1635",1635,"CG","Wet",207,"Mwantimba","Wet","Agriculture",3,"Wet_Ag3","Wet_Ag3_CG4","Exclosed","Rooibos","R149",2.24,1.99,5.51,1.88,1.401,1.25,1.149,9.415,1.041,"03.02.2017","19.03.2017",44,0.74,0.84,15.2,12.2,"O",1,19.8,29.05,-2.439694991,34.83857403,"NO","NO","NO",NA,0.045541581,44.6276595744681,0.09,0.99,12.44,11,NA,27.96,4.92,67.12,"sandy clay loam",0.89,27.021932,16.637488,57.722372,206.8173452,"Mwantimba.ag"
"1636",1636,"CG","Wet",208,"Mwantimba","Wet","Agriculture",4,"Wet_Ag4","Wet_Ag4_CG3","Exclosed","Rooibos","R449",2.271,2.021,5.51,1.91,1.611,1.46,1.362,7.543,1.26,"03.02.2017","19.03.2017",44,0.561,0.65,7.9,7.9,"O",1,22.2,27.45,-2.439599019,34.83841896,"NO","NO","YES",NA,0.033101736,34.0314136125654,0.12,1.43,12.58,11.91666667,NA,17.96,4.92,77.12,"sandy loam",2.02,13.629932,16.637488,69.003372,206.8173452,"Mwantimba.ag"
"1637",1637,"CG","Wet",209,"Mwantimba","Wet","Pasture",1,"Wet_P1","Wet_P1_CG2","Exclosed","Rooibos","R142",2.087,1.837,5.51,1.736,1.578,1.427,1.345,6.262,1.261,"03.02.2017","20.03.2017",45,0.41,0.475,5.13,5.13,"O",1,24.5,24.4,-2.439645035,34.83836599,"NO","NO","YES",NA,0.019493329,27.3617511520737,0.18,2.19,32.2,12.16666667,1.3,31.21,11.38,57.41,"sandy clay loam",1.73,31.374332,21.895282,46.768521,206.8173452,"Mwantimba.p"
